version,idf_file,key_value,variable_name,reporting_frequency
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Site Outdoor Air Drybulb Temperature,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Site Outdoor Air Wetbulb Temperature,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Site Outdoor Air Humidity Ratio,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Site Outdoor Air Relative Humidity,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Zone Mean Air Temperature,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Baseboard Electricity Rate,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Performance Curve Input Variable 1 Value,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Performance Curve Input Variable 2 Value,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Performance Curve Output Value,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,System Node Temperature,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,System Node Mass Flow Rate,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,System Node Setpoint Temperature,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,System Node Standard Density Volume Flow Rate,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,System Node Humidity Ratio,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,Supply Inlet Node,System Node Dewpoint Temperature,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,Main Cooling Coil 1 Outlet Node,System Node Dewpoint Temperature,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,Supply Inlet Node,System Node Relative Humidity,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Zone Predicted Sensible Load to Cooling Setpoint Heat Transfer Rate,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Cooling Coil Total Cooling Rate,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Cooling Coil Sensible Cooling Rate,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Cooling Coil Latent Cooling Rate,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Cooling Coil Electricity Rate,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Cooling Coil Runtime Fraction,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Coil System Part Load Ratio,Hourly
V23-1-0,1ZoneDataCenterCRAC_wApproachTemp.idf,*,Coil System Frost Control Status,Hourly
